signal_number;date;side;signal;text;sources;;;;;;;;;;;;;;;;;;;;;
349;5 May 2024;W;W3;US Navy deploys SM6-capable MRC Typhon missile system in joint convoy protection exercises with Danish military.;"“U.S. Naval Forces Europe and U.S. Sixth Fleet conduct containerized missile launcher rehearsals on Bornholm
Island, Denmark,” U.S. Naval Forces Europe Public Affairs, May 8, 2024 [https://www.c6f.navy.mil/Press-
Room/News/Article/3768263/us-naval-forces-europe-and-us-sixth-fleet-conduct-containerized-missile-
launche/]; and Ryan Chan, X, May 6, 2024 [https://x.com/ryankakiuchan/status/1787487452837343311]; and
Parth Satam, “U.S. Navy Rehearses Deployment Of MRC Typhon Missile System In The Baltics”, Aviatonist, May
10, 2024 [https://theaviationist.com/2024/05/10/us-navy-deploys-mrc-typhon-denmark/].";;;;;;;;;;;;;;;;;;;;;
350;6 May 2024;R;R3;"MOD: Tactical nuclear weapons exercises; links exercises to UK’s long-range weapons pledge, ATACMS, potential F-16 deployment, and French ground troop statements.";"Foreign Ministry statement on the Russian Armed Forces’ exercises held to practice for the use of non-strategic
nuclear weapons, Ministry of Foreign Affairs of the Russian Federation, May 6, 2024
[https://mid.ru/ru/foreign_policy/news/1948486/?lang=en]; “On the summoning of the British Ambassador to the Russian Foreign Ministry,” Ministry of Foreign Affairs of
the Russian Federation, May 6, 2024 [https://www.mid.ru/ru/foreign_policy/news/1948389/]; Dmitry Medvedev, Twitter, May 6, 2024 [https://x.com/MedvedevRussiaE/status/1787427096320430252],
Dmitry Medvedev, Telegram, May 6, 2024 [https://t.me/medvedev_telegram/489].";;;;;;;;;;;;;;;;;;;;;
351;6 May 2024;R;R6;British military targets in Ukraine may be hit if UK weapons are used against Russia. Medvedev: Western troop plans justify drills and would trigger “global catastrophe.”;"Foreign Ministry statement on the Russian Armed Forces’ exercises held to practice for the use of non-strategic
nuclear weapons, Ministry of Foreign Affairs of the Russian Federation, May 6, 2024
[https://mid.ru/ru/foreign_policy/news/1948486/?lang=en]; “On the summoning of the British Ambassador to the Russian Foreign Ministry,” Ministry of Foreign Affairs of
the Russian Federation, May 6, 2024 [https://www.mid.ru/ru/foreign_policy/news/1948389/]; Dmitry Medvedev, Twitter, May 6, 2024 [https://x.com/MedvedevRussiaE/status/1787427096320430252],
Dmitry Medvedev, Telegram, May 6, 2024 [https://t.me/medvedev_telegram/489].";;;;;;;;;;;;;;;;;;;;;
352;6 May 2024;W;W7;Kirby: Russia’s nuclear drills are “reckless” and “irresponsible.” ;"White House Daily Briefing,” C-SPAN, May 6, 2024 [https://www.c-span.org/program/public-affairs-
event/white-house-daily-briefing/641931].";;;;;;;;;;;;;;;;;;;;;
353;6 May 2024;W;W6;US sees no change in Russia’s strategic posture and will not alter its own deterrent stance.;"“Pentagon Press Secretary Air Force Maj. Gen. Pat Ryder Holds an Off-Camera, On-the-Record Press Briefing,”
U.S. Department of Defense, May 6, 2024
[https://www.defense.gov/News/Transcripts/Transcript/Article/3766322/pentagon-press-secretary-air-
force-maj-gen-pat-ryder-holds-an-off-camera-on-the/].";;;;;;;;;;;;;;;;;;;;;
354;7 May 2024;R;R1;Lukashenka orders a surprise inspection of Belarusian non-strategic nuclear weapons delivery vehicles, calling it defensive in nature – these are “weapons of deterrence.”;"“Belarus Holds Snap Inspection of Nuclear Arms Carriers,” Moscow Times, May 7, 2024
[https://www.themoscowtimes.com/2024/05/07/belarus-holds-snap-inspection-of-nuclear-arms-carriers-
a85061]; and Ministry of Defense of the Republic of Belarus, Telegram, May 7, 2024
[https://t.me/modmilby/38527]; Ministry of Defense of the Republic of Belarus, Telegram, May 7, 2024 [https://t.me/modmilby/38525].";;;;;;;;;;;;;;;;;;;;;
355;9 May 2024;R;R1;Putin: Russia will do its “utmost to prevent a global confrontation,” but strategic forces remain in “combat readiness.”;"Michael Rossi Poli Sci, “Vladimir Putin’s Victory Day Speech - May 2024 - English Subtitles,” YouTube, May 9,
2024 [https://www.youtube.com/watch?v=-SfdV7RSzDM]; “Belarus i Rossiya vmeste provodyat trenirovku po zadeistvovaniyu yadernogo oruzhiya” [Belarus and Russia
hold a joint training session on the use of nuclear weapons],” Belta, May 9, 2024
[https://belta.by/president/view/belarus-i-rossija-vmeste-provodjat-trenirovku-po-zadejstvovaniju-jadernogo-
oruzhija-633387-2024/].";;;;;;;;;;;;;;;;;;;;;
356;10 May 2024;R;R2;In response to UK allowing Ukraine to strike Russia with Storm Shadow missiles, Medvedev claims British and French personnel operate these weapons in Ukraine. Russia could respond “under certain circumstances” with “special ammunition.”;Dmitry Medvedev, Telegram, May 10, 2024 [https://t.me/medvedev_telegram/492].;;;;;;;;;;;;;;;;;;;;;
357;10 May 2024;R;R6;Zhdanova: NATO is escalating war toward “open military clash” with Russia through Steadfast Defender exercise, troop deployment statements, and possible US nukes in Poland. ;"“Statement by Yu.D. Zhdanova, Member of the Delegation of the Russian Federation to the Vienna Negotiations
on Military Security and Arms Control, at the 1076th Plenary Session of the OSCE Forum for Security Co-
operation, 8 May 2024,” Ministry of Foreign Affairs of the Russian Federation, May 10, 2024
[https://mid.ru/ru/foreign_policy/news/1949378/].";;;;;;;;;;;;;;;;;;;;;
358;10 May 2024;R;R2;F-16s in Ukraine will be seen as nuclear-capable.;"“Statement by Yu.D. Zhdanova, Member of the Delegation of the Russian Federation to the Vienna Negotiations
on Military Security and Arms Control, at the 1076th Plenary Session of the OSCE Forum for Security Co-
operation, 8 May 2024,” Ministry of Foreign Affairs of the Russian Federation, May 10, 2024
[https://mid.ru/ru/foreign_policy/news/1949378/].";;;;;;;;;;;;;;;;;;;;;
359;13 May 2024;W;W4;Kristersson: Sweden considers hosting nuclear weapons in the event of war between NATO and Russia.;"“Kristersson öppnar för kärnvapen på svensk mark i krigstid,” Sverige Radio, May 13, 2024
[https://www.sverigesradio.se/artikel/kristersson-oppnar-for-karnvapen-pa-svensk-mark%20].";;;;;;;;;;;;;;;;;;;;;
360;18 May 2024;R;R6;Medvedev calls for “sanitary zone” deep into Ukraine, possibly up to Poland. Warns that Russia’s non-strategic nuclear weapons include warheads more powerful than Hiroshima and Nagasaki bombs.;Dmitry Medvedev, Telegram, May 18, 2024 [https://t.me/medvedev_telegram/495].;;;;;;;;;;;;;;;;;;;;;
361;24 May 2024;R;R7;Lukashenka and Putin defend joint nuclear drills as a response to similar NATO activities, claiming they are “not escalating.”;"“Press conference following Russian-Belarusian negotiations,” President of Russia, May 24, 2024
[http://kremlin.ru/events/president/news/74108].";;;;;;;;;;;;;;;;;;;;;
362;27 May 2024;W;W4 ;Stoltenberg urges allies to lift restrictions on Ukrainian strikes inside Russi […].;"“Address by NATO Secretary General Stoltenberg at the NATO Parliamentary Assembly (NPA) in Sofia,
Bulgaria,” NATO, May 27, 2024
[https://www.nato.int/cps/en/natohq/opinions_225645.htm?selectedLocale=en].";;;;;;;;;;;;;;;;;;;;;
363;27 May 2024;W;W8;[…] but rules out NATO combat troops in Ukraine to avoid escalation;"“Address by NATO Secretary General Stoltenberg at the NATO Parliamentary Assembly (NPA) in Sofia,
Bulgaria,” NATO, May 27, 2024
[https://www.nato.int/cps/en/natohq/opinions_225645.htm?selectedLocale=en].";;;;;;;;;;;;;;;;;;;;;
364;28 May 2024;R;R6 ;Putin: European “mercenaries” are operating long-range systems in Ukraine and Polish troops in Ukraine would be “in the engagement area.” ;"“Answers to media questions following the visit to Uzbekistan,” President of Russia, May 28, 2024
[http://en.kremlin.ru/events/president/news/74132].";;;;;;;;;;;;;;;;;;;;;
365;28 May 2024;R;R2;Putin: Condemns strikes into Russia and hints at retaliation against third-party states.;"“Answers to media questions following the visit to Uzbekistan,” President of Russia, May 28, 2024
[http://en.kremlin.ru/events/president/news/74132].";;;;;;;;;;;;;;;;;;;;;
366;29 May 2024;W;W4;Blinken: US is open to Ukraine striking Russian military targets with US-supplied weapons. Doing so reflects “adapted and adjusted” US policy.;"“Secretary Blinken News Conference with Moldovan President Sandu,” C-SPAN, May 29, 2024 [https://www.c-
span.org/program/public-affairs-event/secretary-blinken-news-conference-with-moldovan-president-
sandu/642955].";;;;;;;;;;;;;;;;;;;;;
367;29 May 2024;W;W8;Kirby: “No change” in US policy – Washington does not “encourage” or “enable” Ukrainian strikes against Russian territory using US weapons.;"“On-the-Record Press Gaggle by White House National Security Communications Advisor John Kirby,” The
White House, May 29, 2024 [https://bidenwhitehouse.archives.gov/briefing-room/press-
briefings/2024/05/29/on-the-record-press-gaggle-by-white-house-national-security-communications-advisor-
john-kirby-13/].";;;;;;;;;;;;;;;;;;;;;
368;30 May 2024;W;W8;Tajani: Italy will never send troops to Ukraine and Italian weapons must be used only within Ukrainian territory.;"“In half an hour – Interview with Antonio Tajani,” Rai Play, May 30, 2024
[https://www.raiplay.it/video/2024/03/Lintervista-ad-Antonio-Tajani---In-mezzora-17032024-4fec6d4d-
3039-4f69-a5b6-ac47e3d75987.html].";;;;;;;;;;;;;;;;;;;;;
369;30 May 2024;R;R1;Lavrov: Western F-16s to Ukraine would equate to nuclear-capable carriers.;"“NATO countries’ intention to continue war with Russia will backfire — Kremlin,” TASS, May 30, 2024
[https://tass.com/politics/1795771].";;;;;;;;;;;;;;;;;;;;;
370;30 May 2024;R;R6;Russia-Belarus joint nuclear drills were meant to warn against further escalation as Western approval of strikes on RU territory was a dangerous provocation.;"“NATO countries’ intention to continue war with Russia will backfire — Kremlin,” TASS, May 30, 2024
[https://tass.com/politics/1795771].";;;;;;;;;;;;;;;;;;;;;
371;31 May 2024;R;R2;Medvedev says NATO's direct control of long-range systems constitutes war participation and could trigger a “casus belli” potentially followed by tactical nuclear strikes on European nations. “Not a bluff.”;Dmitry Medvedev, Telegram, May 31, 2024 [https://t.me/medvedev_telegram/499].;;;;;;;;;;;;;;;;;;;;;
372;3 June 2024;R;R6;As Washington allows Kyiv to strike inside Russia, Ryabkov warns against “miscalculations” with “fatal consequences” – Washington has underestimated the seriousness of Russia’s response and small European nations must fully grasp the risks.;"“Answers to media questions following the visit to Uzbekistan,” President of Russia, May 28, 2024
[http://www.en.kremlin.ru/events/president/news/74132]; “Senior diplomat urges US authorities to heed Putin’s warnings about strikes on Russia,” TASS, June 3, 2024
[https://tass.com/politics/1797303].";;;;;;;;;;;;;;;;;;;;;
373;5 June 2024;R;R1;Russia would never use nuclear weapons, but the “nuclear doctrine clearly states that if somebody’s actions threaten our sovereignty and territorial integrity, we reserve the right to employ all available means in response.”;"“Meeting with heads of international news agencies,” President of Russia, June 5, 2024
[http://en.kremlin.ru/events/president/news/74223]; “Russia requests UNSC meeting over decision to strike it with Western weapons,” TASS, June 6, 2024
[https://tass.com/politics/1799153]; “Russia may arm US enemies, just like Washington does with Ukraine — security official,” TASS, June 6, 2024
[https://tass.com/politics/1799383].";;;;;;;;;;;;;;;;;;;;;
374;6 June 2024;W;W8;Biden denies claims that Ukraine can use US weapons to strike Moscow, stating Kyiv is only authorized to use them near the border or against targets in Ukraine.;"“Exclusive: Biden tells Muir US weapons will not be used to strike Moscow, Kremlin,” ABC News, June 6, 2024
[https://abcnews.go.com/Politics/exclusive-biden-muir-us-weapons-wont-be-used-strike-moscow-
kremlin/story?id=110865528].";;;;;;;;;;;;;;;;;;;;;
375;7 June 2024;R;R1 ;Putin denies initiating nuclear escalation, recalls Liz Truss’s 2022 nuclear threats. Russia’s nuclear doctrine allows use only if sovereignty or territorial integrity is threatened.;"Plenary session of the St Petersburg International Economic Forum,” President of Russia, June 7, 2024
[http://en.kremlin.ru/events/president/news/74234].";;;;;;;;;;;;;;;;;;;;;
376;7 June 2024;R;R4 ;Putin: No immediate changes planned, but doctrine is “living” and may evolve, including possible nuclear tests if needed. Hopes nuclear war never happens, stressing Russia’s conventional forces make it unnecessary.;"Plenary session of the St Petersburg International Economic Forum,” President of Russia, June 7, 2024
[http://en.kremlin.ru/events/president/news/74234].";;;;;;;;;;;;;;;;;;;;;
377;11 June 2024;R;R3;Second stage of nuclear exercises with Belarus to practice combat use of non-strategic nuclear weapons. Peskov: Drills maintain readiness of personnel and hardware from both countries to ensure the territorial integrity.;"“Second stage of tactical nuclear drills kicks off in Russia — top brass,” TASS, June 11, 2024
[https://tass.com/defense/1801995]; and “Kremlin says keeping up combat readiness important amid Western
provocations,” TASS, June 11, 2024 [https://tass.com/politics/1802107].";;;;;;;;;;;;;;;;;;;;;
378;14 June 2024;R;R6;Putin: Calls for Russia’s “strategic defeat” despite its nuclear arsenal show “extreme recklessness.”;"""President of Russia Vladimir Putin’s speech at the meeting with senior staff of the Russian Foreign Ministry,
Moscow, June 14, 2024,” President of Russia, June 14, 2024 [https://mid.ru/en/foreign_policy/news/1957107/].";;;;;;;;;;;;;;;;;;;;;
379;14 June 2024;W;W2;G7 reiterates that any Russian use of nuclear weapons will be “inadmissible”.;"“G7 summit, Borgo Egnazia, Apulia, Italy, 13-15 June 2024,” European Council, June 14, 2024
[https://www.consilium.europa.eu/en/meetings/international-summit/2024/06/13-15/]; „Apulia G7 Leaders’ Communiqué,“ European Council, 14 June 2024
[https://www.consilium.europa.eu/media/fttjqncg/apulia-g7-leaders-communique.pdf].";;;;;;;;;;;;;;;;;;;;;
380;14 June 2024;W;W7;G7  warns of “severe consequences” for any CBRN use.;"“G7 summit, Borgo Egnazia, Apulia, Italy, 13-15 June 2024,” European Council, June 14, 2024
[https://www.consilium.europa.eu/en/meetings/international-summit/2024/06/13-15/]; „Apulia G7 Leaders’ Communiqué,“ European Council, 14 June 2024
[https://www.consilium.europa.eu/media/fttjqncg/apulia-g7-leaders-communique.pdf].";;;;;;;;;;;;;;;;;;;;;
381;20 June 2024;R;R4;Putin: Signals possible changes to Russia’s nuclear doctrine.;"“Russia takes note of drastic changes in security area — Putin,” TASS, June 20, 2024
[https://tass.com/defense/1806235].";;;;;;;;;;;;;;;;;;;;;
382;20 June 2024;W;W6;Ryder: Firing US weapons at Russian forces attacking from across the border constitutes “self-defense” and Moscow’s “nuclear saber-rattling” not new. Hence, no need to alter US strategic posture.;"“Pentagon Press Secretary Maj. Gen. Pat Ryder Holds a Press Briefing,” U.S. Department of Defense, June 20,
2024 [https://www.defense.gov/News/Transcripts/Transcript/Article/3812734/pentagon-press-secretary-
maj-gen-pat-ryder-holds-a-press-briefing/].";;;;;;;;;;;;;;;;;;;;;
383;25 June 2024;R;R6;Ryabkov: Western underestimation of Russia’s resolve could prove “fatal.” Moscow has the means to “drive the message home”.;"“West’s underestimation of Russia’s ability to use nuclear weapons could be fatal — MFA,” TASS, June 25, 2024
[https://tass.com/politics/1808357].";;;;;;;;;;;;;;;;;;;;;
384;25 June 2024;W;W8;Ryder speaks with Belousov, stressing importance of keeping communication channels open amid the war.;"“Readout of Secretary of Defense Lloyd J. Austin III’s Phone Call with Russian Minister of Defense Andrey
Belousov,” U.S. Department of Defense, June 25, 2024
[https://www.defense.gov/News/Releases/Release/Article/3817099/readout-of-secretary-of-defense-lloyd-j-
austin-iiis-phone-call-with-russian-min/].";;;;;;;;;;;;;;;;;;;;;
385;28 June 2024;R;R4;Putin discusses suspension of Russia’s unilateral INF moratorium citing US drills in Europe with ground-based intermediate and short-range missiles.;"“Putin discusses situation around INF Treaty with Russian Security Council,” TASS, June 28, 2024
[https://tass.com/politics/1810131].";;;;;;;;;;;;;;;;;;;;;
386;8 July 2024;W;W8;Kirby: Washington did not support Poland intercepting Russian missiles over Ukrainian airspace in order to avoid escalation and not provide Putin with a pretext.;"Daryna Vyalko, “Biden Administration comments on Poland’s interception of Russian missiles over Ukraine”,
RBC-Ukraine, July 10, 2024 [https://newsukraine.rbc.ua/news/biden-administration-comments-on-poland-s-
1720626509.html]; and Sophia Zakrevska, “The White House opposes Poland’s shooting down of Russian
missiles over Ukraine: they talk about the threat of escalation”, Oboz.Ua, July 11, 2024
[https://eng.obozrevatel.com/section-war/news-the-white-house-opposes-polands-shooting-down-of-russian-
missiles-over-ukraine-they-talk-about-the-threat-of-escalation-11-07-2024.html]; Marek Walkuski, X, July 10, 2024 [https://x.com/Marekwalkuski/status/1811016899175567755]; and Marek
Walkuski, “Will Poland shoot down Russian missiles over Ukraine? Minister of National Defense explains”,
Polskie Radio 24, July 10, 2024 [https://polskieradio24.pl/artykul/3401743,polska-zestrzeli-rosyjskie-rakiety-
nad-ukraina-szef-mon-wyjasnia].";;;;;;;;;;;;;;;;;;;;;
387;10 July 2024;W;W5;Washington and Berlin announced that starting in 2026, long-range Tomahawk, SM-6, and hypersonic missiles would be episodically deployed to Germany.;"“Gemeinsame Erklärung der Regierungen der Vereinigten Staaten von Amerika und der
Bundesrepublik Deutschland zur Stationierung weitreichender Waffensysteme in Deutschland,“
Bundesregierung, July 10, 2024
[https://www.bundesregierung.de/resource/blob/975228/2298418/b4eca6d3ccfdfd9fb1580117e1cf7910/20
24-07-10-gemeinsame-erklaerung-usa-ger-nato-gipfel-data.pdf?download=1]; and „Joint Statement from United
States and Germany on Long-Range Fires Deployment in Germany,“ The White House, July 10, 2024
[https://bidenwhitehouse.archives.gov/briefing-room/statements-releases/2024/07/10/joint-statement-from-
united-states-and-germany-on-long-range-fires-deployment-in-germany/]; “Washington Summit Declaration,” NATO, July 10, 2024
[https://www.nato.int/cps/en/natohq/official_texts_227678.htm?selectedLocale=en].";;;;;;;;;;;;;;;;;;;;;
388;11 July 2024;W;W8;UK government sources say British policy has not changed – London still opposes the use of Storm Shadow missiles against targets in Russia.;"Tony Diver, Danielle Sheridan, Daniel Martin, Joe Barnes, “UK hasn’t allowed Ukraine to use Storm Shadow
missiles inside Russia, MoD clarifies”, Telegraph, July 11, 2024 [https://www.telegraph.co.uk/world-
news/2024/07/11/starmer-ukraine-british-storm-shadow-missiles-russia/].";;;;;;;;;;;;;;;;;;;;;
389;12 July 2024;R;R3;The Kremlin would regard authorization of Ukraine to use US longer-range missile systems to strike targets in Russia as “pure provocation” and “new, very dangerous round of escalation.”;"“Kremlin views longer-range missile deployments as provocation”, TASS, July 12, 2024
[https://tass.com/politics/1816201]; and TASS, Telegram, July 12, 2024 [https://t.me/tassagency_en/32554].";;;;;;;;;;;;;;;;;;;;;
390;12 July 2024;W;W5;Pentagon emphasizes lines of communication with Russia and says Ukraine could do cross-border strikes against Russian attacks, […];"“Deputy Pentagon Press Secretary Sabrina Singh Holds a Press Briefing,” U.S. Department of Defense, July 12,
2024 [https://www.defense.gov/News/Transcripts/Transcript/Article/3837480/deputy-pentagon-press-
secretary-sabrina-singh-holds-a-press-briefing/].";;;;;;;;;;;;;;;;;;;;;
391;12 July 2024;W;W8;[…] but striking deep into Russia was not authorized.;"“Deputy Pentagon Press Secretary Sabrina Singh Holds a Press Briefing,” U.S. Department of Defense, July 12,
2024 [https://www.defense.gov/News/Transcripts/Transcript/Article/3837480/deputy-pentagon-press-
secretary-sabrina-singh-holds-a-press-briefing/].";;;;;;;;;;;;;;;;;;;;;
392;14 July 2024;R;R6;Peskov: Russia has enough capabilities to deter US deployments to Germany, and the victim of any potential escalation would be “the capitals of those countries.”;"“Russia, West currently at stage of deep confrontation — Kremlin”, TASS, July 14, 2024
[https://tass.com/politics/1816835]; and Zarubin Reporter, Telegram, July 13, 2024
[https://t.me/zarubinreporter/2977]; and “Moskva. Kreml|.Putin [Moscow. Kremlin. Putin],” Yapolitic.ru, July
14, 2024 [https://yapolitic.ru/67300-moskva-kreml-putin-140724].";;;;;;;;;;;;;;;;;;;;;
393;16 July 2024;R;R6;Lavrov: “Europeans must realize the suicidal role they are destined to play” in a “new global war.”;"“Foreign Minister Sergey Lavrov’s answers to questions from Channel One television channel, New York City,
July 16, 2024,” Ministry of Foreign Affairs of the Russian Federation, July 17, 2024
[https://www.mid.ru/en/press_service/minister_speeches/1962233/].";;;;;;;;;;;;;;;;;;;;;
394;17 July 2024;R;R6;Medvedev: Ukraine is a Western means of destroying Russia, which is merely exercising its “right to self-defense” – whether the planet will “fly apart” is dependent on NATO involvement in Ukraine.;"Klaus Wiegrefe, “Neuer Aktenfund von 1991 stützt russischen Vorwurf”, Spiegel, February 18, 2022
[https://www.spiegel.de/ausland/nato-osterweiterung-aktenfund-stuetzt-russische-version-a-1613d467-bd72-
4f02-8e16-2cd6d3285295]; Dmitry Balashov and Valery Rukobratsky, ““Poryadok Zapada -eto „kidalovo” Medvedev dal eksklyusivnoye
interview „AiF” [The Western order is a “scam.” Medvedev gave an exclusive interview to AiF],” Arguments and
Facts, July 17, 2024 [https://aif.ru/politics/russia/dmitriy-medvedev-poryadok-zapada-eto-kidalovo].";;;;;;;;;;;;;;;;;;;;;
395;21 July 2024;W;W3;Two US B-52 long-range strategic bombers flew for the first time over NATO’s newest member, Finland.;Amelia Smith, X, July 22, 2024 [https://x.com/ameliairheart/status/1815242378468602063].;;;;;;;;;;;;;;;;;;;;;
396;28 July 2024;R;R4;Putin: US long-range missiles in Germany would have a short flight-time to Russia and could be equipped with nuclear warheads.;“Main Naval Parade,” President of Russia, July 28, 2024 [http://kremlin.ru/events/president/news/74651].;;;;;;;;;;;;;;;;;;;;;
397;15 August 2024;R;R6;Lukashenka: The involvement of NATO’s full military force in Ukraine would exceed Belarus’s capabilities, potentially leading to “mobilization and an all-out war.”;"BELTA, “Consequences of Kursk invasion, Zelensky, draft dodgers, nuclear strike // Lukashenko’s interview,”
YouTube, Interview premiered on August 18, 2024 [https://www.youtube.com/watch?v=UJn9tazQDZY]";;;;;;;;;;;;;;;;;;;;;
398;15 August 2024;R;R2;Lukashenka: He underscored that “the state border” remained “the only red line.”;"BELTA, “Consequences of Kursk invasion, Zelensky, draft dodgers, nuclear strike // Lukashenko’s interview,”
YouTube, Interview premiered on August 18, 2024 [https://www.youtube.com/watch?v=UJn9tazQDZY]";;;;;;;;;;;;;;;;;;;;;
399;15 August 2024;W;W6;Kirby: In response to Lukashenka’s statement, Washington sees no reason to “change” its “strategic deterrent posture or calculus.”;"“On-the-Record Press Gaggle by White House National Security Communications Advisor John Kirby,” The
White House, August 15, 2024 [https://bidenwhitehouse.archives.gov/briefing-room/press-
briefings/2024/08/15/on-the-record-press-gaggle-by-white-house-national-security-communications-advisor-
john-kirby-22/].";;;;;;;;;;;;;;;;;;;;;
400;27 August 2024;R;R6;Lavrov says the West was “asking for” excessive escalation in Ukraine by potentially allowing deep-strikes into Russia.;"“Lavrov nazval shantazhom trebovaniya ispol’zovat’ Storm Shadow dlya udarov po RF (Lavrov called demands
to use Storm Shadow for strikes against Russia blackmail),” TASS, August 27, 2024
[https://tass.ru/politika/21698363].";;;;;;;;;;;;;;;;;;;;;
401;28 August 2024;R;R2;Zakharova: Russian nuclear weapons had been deployed to Belarus and the “practical implementation of any threats against Minsk” would be “fraught with harmful consequences.”;"Briefing by Foreign Ministry Spokeswoman Maria Zakharova, Moscow, August 28, 2024,” Ministry of Foreign
Affairs of the Russian Federation, August 28, 2024 [https://mid.ru/en/foreign_policy/news/1966922/#3].";;;;;;;;;;;;;;;;;;;;;
402;1 September 2024;R;R4;Ryabkov: Russia was finalizing changes to its nuclear doctrine taking into account “Western adversaries’ escalation course.”;"ASS Agency, Telegram, September 1, 2024 [https://t.me/tass_agency/269749]; “Russia to change nuclear doctrine upon examination of West’s actions — senior diplomat,” TASS, September 1,
2024 [https://tass.com/politics/1836707]";;;;;;;;;;;;;;;;;;;;;
403;4 September 2024;R;R6;Lavrov: US should not take Russia’s red lines lightly by supplying long-range missiles to Ukraine.;"“Foreign Minister Sergey Lavrov’s answers to questions from the Moscow. Kremlin. Putin. programme,
Vladivostok, September 4, 2024,” Ministry of Foreign Affairs of the Russian Federation, September 4, 2024
[https://www.mid.ru/en/foreign_policy/news/1968073/].";;;;;;;;;;;;;;;;;;;;;
404;4 September 2024;R;R7;Zakharova: Changes in Russia’s nuclear doctrine were a consequence of US actions.;"“Briefing by Foreign Ministry Spokeswoman Maria Zakharova on the sidelines of the Eastern Economic Forum,
Vladivostok, September 4, 2024,” Ministry of Foreign Affairs of the Russian Federation, September 4, 2024
[https://www.mid.ru/en/press_service/spokesman/briefings/1968058/#Q15].";;;;;;;;;;;;;;;;;;;;;
405;11 September 2024;R;R2;Lavrov suggests Russia could potentially use nuclear weapons against Ukraine if it used Western-provided long-range missiles against Russian territory.;"“Foreign Minister Sergey Lavrov’s remarks at the ambassadorial roundtable discussion of Ukraine crisis
settlement, Moscow, September 12, 2024,” Ministry of Foreign Affairs of the Russian Federation, September 12,
2024 [https://www.mid.ru/en/press_service/minister_speeches/1969360/].";;;;;;;;;;;;;;;;;;;;;
406;12 September 2024;R;R2;Putin warns that allowing Ukrainian long-range precision strikes inside Russia would mark a major escalation, potentially changing the conflict “dramatically,” meaning NATO countries would be “at war with Russia” and Moscow would respond accordingly.;"“Answer to a media question,” President of Russia, September 12, 2024
[http://en.kremlin.ru/events/president/news/75092].";;;;;;;;;;;;;;;;;;;;;
407;14 September 2024;R;R6;Ryabkov urges Western leaders to consider the consequences of allowing such deep-strikes into Russia.;TASS Agency, Telegram, September 14, 2024 [https://t.me/tass_agency/272639].;;;;;;;;;;;;;;;;;;;;;
408;17 September 2024;R;R6;Medvedev warns of inevitable Russian retribution against Western figures who supported lifting Ukraine’s restrictions on long-range strikes with NATO-supplied weapons.;Dmitry Medvedev, Telegram, September 17, 2024 [https://t.me/s/medvedev_telegram/529].;;;;;;;;;;;;;;;;;;;;;
409;20 September 2024;R;R6;Lavrov warns that allowing Ukraine to strike inside Russia with long-range weapons would mean “NATO countries are at war” with Moscow.;"“Foreign Minister Sergey Lavrov’s interview with Sky News Arabia, Moscow, September 20, 2024,” Ministry of
Foreign Affairs of the Russian Federation, September 20, 2024
[https://www.mid.ru/en/press_service/minister_speeches/1970551/].";;;;;;;;;;;;;;;;;;;;;
410;20 September 2024;R;R1;Lavrov: Russia did not want nuclear war, but its arsenal was on “full alert status.”;"“Foreign Minister Sergey Lavrov’s interview with Sky News Arabia, Moscow, September 20, 2024,” Ministry of
Foreign Affairs of the Russian Federation, September 20, 2024
[https://www.mid.ru/en/press_service/minister_speeches/1970551/].";;;;;;;;;;;;;;;;;;;;;
411;25 September 2024;R;R5;Putin outlines the adapted nuclear doctrine – an attack by a non-nuclear-weapon state with the support or participation of a nuclear-armed country would now be considered a “joint attack” and justify nuclear retaliation.;"“Meeting of the Security Council standing conference on nuclear deterrence,” President of Russia, September
25, 2024 [http://en.kremlin.ru/events/president/news/75182].";;;;;;;;;;;;;;;;;;;;;
412;6 October 2024;R;R2;Medvedev: If Ukraine attacked Belarus, Minsk would turn to Moscow to use the tactical nuclear weapons deployed on its territory, and Russia could hardly deny the requests.;Dimitri Medvedev, “Sunday Review,” Telegram, October 6, 2024 [https://t.me/medvedev_telegram/532].;;;;;;;;;;;;;;;;;;;;;
413;6 October 2024;R;R6;Zhdanova: NATO’s rhetorical “game” of putting “boots on the ground” in Ukraine cold “get out of control” and lead to “catastrophic consequences.”;"“The diplomat warned about a possible disaster because of the “game” of NATO,” RIA Novosti, October 7, 2024
[https://ria.ru/20241007/nato-1976669661.html].";;;;;;;;;;;;;;;;;;;;;
414;7 October 2024;R;R6;Lavrov warns the US and NATO of “dangerous consequences” as they were “playing with fire” regarding permission to Ukraine to use long-range missiles against Russian territory.;"“Exclusive: Russia’s Lavrov Warns of ‘Dangerous Consequences’ for US in Ukraine,” Newsweek, October 7, 2024
[https://www.newsweek.com/exclusive-russias-lavrov-warns-dangerous-consequences-us-ukraine-1964468].";;;;;;;;;;;;;;;;;;;;;
